libuser,gender,age,award_total_amount
no,female,61,4027045.5952583677
no,female,65,5176977.249070876
no,male,49,4740917.646373863
yes,male,48,6645112.090639131
yes,female,52,4613797.386038029
yes,female,43,3905457.0675718104
no,male,56,4955499.774357204
yes,female,49,5501347.814782526
no,male,52,4044911.909039285
yes,female,58,5470610.770574296
no,female,50,3163455.4032521127
no,female,50,4485749.725516719
yes,female,53,5575054.6885907315
yes,female,57,5929063.906558269
no,female,46,2727139.187594175
yes,female,46,4848178.200734318
no,male,51,5963495.397515148
yes,female,52,4389343.62132467
yes,male,47,5609563.692833674
yes,female,48,4426257.98030027
yes,male,52,4295910.714343935
yes,female,50,4016257.9471188514
no,female,47,1909942.6598327472
no,female,53,4470610.469336942
no,female,59,4289009.548476895
yes,female,54,4006578.150416653
no,female,48,3537297.2720000567
yes,female,51,5512534.704341383
no,female,45,2894725.7242488433
yes,male,60,5028923.3619021345
yes,female,49,3576458.0883852043
yes,male,67,8373581.272756542
no,female,49,3654551.078563932
yes,male,51,5325803.920536834
yes,male,57,6091713.312052926
no,female,41,2038489.7799529885
no,female,54,4638370.1751953
no,male,49,3906728.7194612133
yes,male,54,6399390.52975261
no,male,58,5892901.623656072
no,male,69,7127459.597044593
yes,male,48,5763861.783830973
no,female,61,4513284.188478155
yes,male,48,4888995.966630077
no,male,61,4929784.920355077
no,female,52,2369955.082586777
yes,female,60,4974110.111631299
no,female,60,3357534.5135127637
no,male,58,4326959.453659863
no,female,49,4418799.740191327
no,male,65,5556366.689532962
yes,female,66,5931485.464683993
yes,female,48,4379202.957043417
no,male,52,3154622.6300997795
yes,female,53,4761718.183086702
no,male,53,5178025.179226342
yes,male,41,5785091.896165916
yes,female,54,4951059.389319374
no,female,63,4148506.5659746528
no,female,63,5707648.99870579
no,female,42,2759934.6214174456
no,male,51,4730884.847466477
yes,female,58,4533506.297744083
no,female,51,2633382.4227794213
no,male,57,5496927.030770034
no,male,51,5298678.852944394
yes,male,62,7702682.379710893
yes,female,44,4142564.7416258636
no,female,62,5197994.301569224
yes,female,53,3487987.027562591
no,male,60,5599020.154667588
yes,male,70,6892752.476635975
yes,male,57,4986379.285048609
yes,male,56,5955284.322704587
yes,male,49,6698776.369160558
yes,female,45,3277444.5074262056
no,male,48,4332582.232507069
yes,female,46,4021425.1062750104
yes,female,42,3862858.325728113
no,male,53,5831897.498638866
yes,female,64,4962688.058058624
yes,male,53,5321144.342385896
no,female,66,4339257.067850647
yes,female,55,4502494.741913085
yes,female,60,5761791.020972415
no,male,50,3729020.1655907393
yes,male,52,5213550.165655546
yes,female,55,5341744.321896204
no,male,55,5052884.345743945
no,female,39,1746983.9455043324
no,male,48,4072660.578011559
yes,male,49,5188375.440389372
no,female,72,4340297.176688314
no,male,55,5565208.900723884
no,female,58,3822692.783505428
yes,male,58,6799008.807915212
yes,male,55,6266377.29597086
no,male,50,3868931.0779613326
no,female,58,4259379.857512788
yes,female,58,5679005.772206065
no,female,57,2833185.560329395
no,male,59,6115565.556616635
no,female,48,3196146.4311953746
yes,female,58,7061577.365099896
no,female,45,2959147.026366001
no,male,51,5584946.44351531
no,female,41,4090620.051501954
yes,female,61,6880427.596630086
no,female,44,2912656.2085139086
yes,male,59,5585760.210361761
no,male,56,5428939.136657391
yes,female,55,3100773.415629628
no,male,54,6271906.21027863
yes,male,45,3983727.656122687
no,female,63,5270644.494907823
yes,female,58,5970658.666923839
yes,male,51,6433400.650509382
yes,female,38,4484988.669818414
yes,female,53,4988529.282503588
yes,female,51,4707007.54490176
yes,female,49,4225557.790200374
no,female,73,5105322.5465176
no,female,55,4882980.2742421655
no,male,62,7084877.850700283
yes,female,54,4889751.648900423
no,male,64,6871700.51800122
yes,female,55,6035193.0105108395
no,male,64,7311755.711932228
yes,male,55,6086800.125638311
no,female,59,3127005.712432735
yes,male,41,3979505.098436161
yes,male,56,6007104.049473261
yes,female,47,4600235.394366548
no,female,54,2806549.7969918274
yes,female,50,4159401.532955538
no,female,58,5124774.554426513
yes,female,40,4132852.806058638
yes,female,48,4211964.85954499
no,male,48,4829247.911615025
no,female,46,4112555.577104168
yes,male,46,5728663.149805378
yes,female,53,3605246.816880585
no,female,46,4603718.040160764
no,female,49,3031259.4884807724
no,female,50,4538912.3072332945
no,male,59,5998966.558110156
yes,female,50,3818367.578844175
no,female,60,4791006.277243764
yes,male,46,5923026.846310684
yes,male,47,6022864.484865856
yes,female,50,2815481.9050342
no,male,41,4702313.844381205
no,male,57,4228748.760857301
no,male,51,5329671.501741589
no,female,41,4766439.809041162
yes,male,45,5289469.391549663
no,female,57,3752301.122161552
yes,male,56,7097074.256681076
no,male,58,5329977.754476839
yes,male,54,5165646.679483422
no,female,60,5295342.191248866
yes,female,51,4261623.141848418
yes,male,54,5335853.071173372
no,female,59,4872087.260671881
yes,female,59,5220285.984811811
yes,male,40,6757359.2576306425
no,male,51,6459472.131518704
no,male,61,6404218.691033631
yes,female,54,4357523.085406725
yes,female,52,5875784.768825943
no,male,55,4920810.847604028
yes,female,45,3662257.283545555
yes,female,47,4186591.6740697925
yes,female,52,5437371.11382071
yes,female,50,3279404.592768091
no,male,52,4775950.467342997
no,male,56,5845765.613335023
no,female,59,3415546.855034193
no,female,57,3641840.9182629148
yes,female,57,4278880.865020831
yes,male,62,8589954.453280758
no,female,55,4465950.105685458
no,female,54,4642545.331636175
no,female,48,3981595.7884478774
yes,male,53,7100184.655636123
no,male,54,6087864.525155701
yes,male,58,6529043.050522923
yes,female,51,3645076.252606374
yes,male,55,6720505.433040505
yes,female,62,6475360.32529883
yes,female,52,5528126.176646613
no,male,60,6867719.083666554
no,female,63,3604223.955253611
no,female,47,3373407.5649990854
yes,male,50,5484618.475605213
no,female,52,3558810.7011511726
yes,female,58,4884627.141399343
no,male,44,4324841.960865415
no,male,43,3485097.4249694636
yes,male,53,5193226.683718276
yes,male,57,6123896.306898949
yes,female,65,5192873.23701192
yes,female,46,2989236.681871854
no,female,60,4631971.199629508
no,female,40,2855185.872258767
yes,female,48,4841050.185765675
no,female,68,5904851.8539611995
yes,male,57,6364259.914125819
no,female,54,3264714.175596889
yes,female,62,5595011.333713973
yes,female,51,4563850.102391329
yes,female,43,1897585.7841970585
yes,female,68,7094953.368277304
yes,male,55,5000756.413732183
no,male,47,5847845.59509475
yes,male,57,6567278.146360801
yes,female,57,5049838.980673185
no,female,43,1857106.5061757322
no,female,57,4199897.577799898
yes,female,42,4621119.120408816
yes,female,64,4579860.564679748
yes,female,54,5082864.736547592
yes,female,57,3851925.407989279
no,female,48,4473768.35710125
yes,female,51,3258093.645431254
yes,female,56,3145257.3369416115
yes,male,50,6336543.60387547
yes,male,55,5760719.666003192
yes,female,38,2948905.2335808743
yes,male,54,8033033.390761959
no,male,58,7171020.7406100575
yes,male,46,4974058.671389122
yes,male,52,5247006.0451362645
no,male,54,6908198.877364039
yes,female,56,3948928.208324325
no,female,56,3458568.5075989664
yes,male,49,5674420.788186841
no,female,65,4251820.491653147
no,male,44,3831209.3364532124
yes,female,55,5323405.381917949
no,male,60,7057362.518788584
yes,male,55,5903498.230718002
yes,male,44,4469202.077068003
yes,female,52,3627459.879164626
yes,female,49,4551700.089478814
yes,female,50,4420539.872456445
no,male,53,5614118.7631591065
yes,male,54,6584781.490066495
no,female,50,5571111.677622793
yes,male,53,4856807.766795134
no,female,47,2724295.9774578754
yes,female,57,5045634.223261922
no,female,56,4434460.317279106
no,male,61,6713656.513297001
no,male,62,5327259.929775372
yes,female,64,5766906.736128792
no,male,51,4764045.890754028
yes,male,51,6626909.233452418
no,female,51,3568097.2259652317
no,female,51,3370598.505578798
yes,female,58,5372848.39005944
yes,female,57,5274615.004252727
yes,female,56,5694247.0399877345
yes,female,61,4719997.450694279
yes,male,43,6667059.050934368
yes,female,49,5373606.900614947
no,female,50,4018363.10432252
yes,male,57,6621505.565915075
yes,female,58,4403580.033981417
no,male,50,6496972.265606276
no,male,61,6184091.707812339
yes,female,51,3974804.536069988
no,female,48,4948648.763191971
yes,female,51,3363743.502250929
no,male,47,3453413.0211733505
no,male,60,6021367.5964294365
yes,male,43,6162392.575522097
yes,female,57,5578772.1486925995
no,male,55,5364041.756497245
no,female,42,4185110.628475187
yes,female,64,3970377.9721657876
no,male,42,5543066.970066317
yes,male,57,6712421.970469634
no,male,66,7299104.664380933
yes,male,59,6749371.2110567605
no,male,49,4387592.467800782
no,female,55,5227551.013071546
yes,female,47,3851296.8484377405
no,female,41,3832517.7742441217
no,male,54,5855114.486189219
no,female,53,4635595.001317002
yes,male,52,6057121.666494951
no,male,48,5286315.478372945
yes,female,59,6693074.000159103
yes,female,43,3325097.9609907935
yes,female,60,5622268.703676401
no,female,55,4913970.719305891
yes,female,59,5008704.554979494
yes,female,57,4689746.898898136
no,female,59,4057039.9875588296
no,female,63,6070271.440582614
no,male,52,5364771.649007111
no,female,60,6263378.119200222
no,male,59,5815468.559501856
yes,female,49,4886194.2519621
yes,female,45,4617886.299284557
yes,male,51,6490509.81648022
yes,male,59,8288373.396685613
no,male,56,5253618.304624584
yes,female,44,3707097.3235711786
yes,female,56,5224315.253293645
yes,male,58,5052778.15089092
yes,male,55,5402977.527639365
no,female,50,5194415.43563626
yes,male,39,5036890.7294899365
no,male,49,4959779.4316069
no,female,48,2411309.3404138763
yes,female,56,6173213.7594234105
yes,female,49,4067203.271626835
yes,male,55,3848754.0338087818
yes,female,58,5300995.582057846
no,female,46,2750844.1495291023
yes,male,53,5191206.104952507
yes,female,58,5942245.626155119
no,male,58,4813560.754807415
no,male,63,5500214.170761119
yes,female,59,5383814.008970547
no,male,48,4153674.172864175
yes,male,42,5710223.381224995
yes,male,51,5747224.171164361
yes,female,58,5189544.8886075225
yes,female,57,5303982.727209927
yes,male,47,5580689.566565383
no,male,57,5456662.815180925
yes,female,58,5225157.520884966
yes,female,55,4586181.027359508
yes,male,58,7442646.634602656
yes,female,61,5578952.789032929
yes,female,59,5852149.339280324
no,female,42,4887334.955173426
no,male,33,4047699.801645418
no,male,63,6231663.961677381
no,female,51,3237448.6749096774
no,male,48,3492414.529823645
yes,male,49,5288605.435832023
yes,male,50,5672506.3547081305
no,female,59,5996673.041709364
no,male,58,5824285.265053041
no,male,52,5025167.14553417
yes,female,57,4570443.857204288
no,female,55,4275320.228728612
yes,female,58,4815307.842196834
yes,male,51,6144441.893417596
no,male,54,4737048.118726971
yes,female,55,5482710.9828674095
no,female,46,2399131.5635331776
yes,male,53,5898907.371751844
no,male,52,4776449.246689103
no,female,58,4550369.931450797
yes,male,46,3974413.7363730166
no,female,41,3613730.250534615
yes,male,41,4953994.700194801
yes,male,48,5380399.2043418605
no,female,56,3517625.142612164
yes,male,50,5285997.551617158
yes,female,57,4785763.802956292
no,female,50,4496387.506847389
no,male,48,4788999.903948042
yes,female,59,5963629.190581563
no,female,49,2192110.1127474112
yes,male,59,6185375.539691159
no,female,63,4493684.262871494
no,male,44,5107710.540538612
yes,female,42,3053923.447697638
no,male,65,5917995.493415635
yes,female,49,4098155.869168602
yes,male,56,5416793.64189227
yes,female,55,4899315.828297093
no,female,54,3748249.1482108487
no,male,55,3655219.889433813
yes,female,45,3665145.228496256
yes,male,46,6326976.125177833
no,female,51,4676449.918791906
no,male,59,4351000.484510202
no,male,43,2491355.2102796915
no,male,52,7624975.826170838
yes,female,56,3495336.855791093
no,female,46,4303642.0062526185
yes,female,57,5390612.099185246
yes,female,53,6088062.022632632
yes,female,49,3585592.5144956317
no,male,56,6668652.469597539
no,male,53,6154494.670027431
yes,male,57,6315242.290665619
no,female,55,4010279.286693547
no,female,44,2381004.9902938046
yes,female,56,3873658.982060661
no,female,52,3240799.249137867
yes,female,57,4410220.698370839
no,male,54,5285838.522863891
no,male,48,3566671.7590724863
yes,male,52,6457440.037871667
yes,male,60,6182416.853424176
yes,male,55,7413712.505934369
yes,male,47,6801777.780861808
no,female,46,3978390.553726655
no,male,46,4258405.295505267
no,female,50,3486835.185966282
yes,female,51,4290505.310717772
no,female,43,3933117.975099709
no,female,47,3945444.543605895
no,male,58,6340744.328511487
yes,male,35,4106376.5390809625
yes,female,48,4391182.527786759
yes,male,59,7165591.722647065
no,female,47,3394641.065789507
yes,male,52,5669614.22936018
no,female,56,4614418.152854823
no,male,46,4226129.198496788
yes,male,51,5380678.771644055
no,male,56,4373668.809834082
yes,female,47,3565333.9876776296
no,male,48,4027813.8408665843
no,male,54,5224887.468979558
yes,male,50,7258646.29605359
no,female,61,5886008.179172841
no,male,56,6386977.841875839
yes,female,60,5142007.496768139
no,female,48,1512423.2538457997
yes,female,58,5595040.960071881
no,male,55,4673620.189368463
no,male,57,4293933.034717003
no,male,49,4168994.0729476167
no,male,50,3883098.418479699
yes,female,42,3220051.1542274235
yes,male,61,5251115.399341188
no,male,47,4713553.6303815115
yes,female,51,5507045.618362736
no,female,46,3897744.180143054
no,female,53,3995578.259055742
yes,female,61,4954773.2097345125
no,male,53,4081237.696352548
yes,female,39,3774706.5626578843
yes,female,48,3891301.518490795
yes,male,52,6363288.7004816625
no,male,54,3612778.694679532
yes,male,63,6982062.531040848
no,female,59,4758233.959449415
yes,male,47,5565559.309913782
yes,male,57,6424130.869600406
yes,female,39,3061152.0790781183
yes,female,39,3530163.8750190134
no,female,55,4812015.181134562
no,male,50,4846666.667311255
yes,female,63,7429418.023099162
yes,male,56,4780758.646361189
no,female,52,2840290.600706189
yes,male,49,6236719.049301626
yes,male,63,7558493.368168807
yes,male,61,6215244.868249244
yes,male,51,5783662.381804968
no,female,45,1545420.894193758
yes,female,51,4036878.268927077
no,female,57,4519142.579618268
no,female,58,3996693.52101032
yes,female,56,4609222.6686755475
no,male,51,4639658.070860896
yes,female,52,5064714.8966404945
no,female,57,4551823.025315915
no,male,60,6299782.702913094
yes,male,57,5007556.646996122
no,male,45,3196108.6777912797
no,male,57,4432493.787484634
no,male,52,5379737.70521104
no,female,53,3671829.721484527
yes,male,58,6203533.811651526
no,female,56,5551540.431343659
no,female,62,5348408.960317941
yes,female,53,3104983.066492164
no,male,56,6053262.481937118
no,female,43,3890605.139139743
no,female,57,4093385.285458208
no,male,60,6395703.917380241
yes,male,59,6721049.477903217
no,female,58,5781895.501568268
no,male,50,5452392.125973175
yes,female,46,4503937.812516521
yes,male,57,6732636.5537719885
no,male,47,5458739.776435222
no,male,60,6042932.788424683
yes,male,57,6683565.773302177
no,female,43,2804782.949891982
no,female,49,4624839.168887531
yes,female,65,4545193.341557309
no,male,55,5379746.665743806
yes,female,51,4390277.052254248
no,female,59,3174570.593858699
no,male,43,4062427.7070575794
no,male,56,4917735.068137989
no,male,54,5043694.456759042
yes,female,40,3771690.4440215873
yes,male,47,5305026.272695823
no,female,54,5150050.430987494
yes,male,47,5560299.094179091
no,male,58,6835190.9714986
yes,male,64,4915699.94313509
no,female,55,3426972.763662198
yes,female,55,4663984.259690257
yes,male,56,6736867.0742489705
no,female,62,4856321.740725502
no,female,52,4482283.173207476
no,male,62,5086338.768108569
yes,male,59,6151881.561642232
yes,female,58,5507845.251986262
yes,male,45,5861339.003686602
yes,male,56,4947461.881061588
no,male,50,5154467.333996618
no,male,48,3911069.6966600767
yes,female,56,4224023.717977373
yes,male,44,5111460.77436699
yes,male,46,5392314.268513685
yes,female,36,3391160.667094204
no,female,56,5267443.020062835
yes,female,36,2103319.3481996683
no,female,50,4293680.566580134
yes,male,58,7211711.432977419
no,female,51,2840888.956860893
yes,male,48,6266402.184951965
yes,female,40,4538049.047263756
yes,male,61,7645762.44603383
yes,female,41,4811310.889751458
yes,female,53,5310398.172506639
yes,female,53,6060970.449707872
yes,female,48,3104367.030149629
no,male,62,6576897.782791585
no,male,51,5488595.736441195
no,female,46,3758402.0925051514
no,female,49,5309006.661135262
yes,female,53,5024437.958145413
no,male,39,5807460.7421165835
yes,female,46,4334546.521408835
yes,female,47,3732429.3949968857
no,female,49,4807973.378003267
no,male,61,6976542.841647392
yes,female,49,5040398.495877657
no,male,40,2210593.8041399918
yes,male,42,5701288.470591408
yes,male,59,5662341.37410718
yes,male,62,6775053.359127578
yes,male,62,6412438.4752444625
no,female,51,4788767.05338925
no,male,40,5215765.967601036
yes,female,50,5251034.265060301
no,male,56,4567971.690051585
yes,female,51,3384726.2393069887
yes,male,50,5078483.294457375
yes,male,55,6418473.27171483
yes,male,50,5092421.309624392
yes,male,64,6017552.15172581
yes,male,61,5041132.079482066
no,male,52,3858488.492375479
no,female,65,5145517.311831375
yes,female,50,6037498.341664919
yes,male,47,5164378.171521041
no,female,48,3461720.320083054
yes,female,48,4706297.068766933
no,female,62,5587421.607271687
no,male,57,5298862.601980112
yes,male,56,6019352.071145788
yes,male,51,6659637.609126726
yes,male,50,4890671.020325586
no,female,61,3842720.408178752
no,male,60,5502600.302356233
yes,male,53,6832062.1516288305
no,male,56,5029878.644061568
no,male,62,3873901.000679394
no,female,72,6411013.330456314
no,male,57,6822284.8155511385
yes,female,65,6714671.270151225
no,male,47,4504119.3550832765
yes,male,56,6445300.515124981
yes,female,39,5263366.310306368
yes,male,51,5027212.763344223
yes,female,61,7552282.252511675
yes,male,55,7230000.3812333625
yes,female,54,4465250.6921891365
no,male,63,5603107.1072019795
no,female,64,6018235.23558674
no,male,57,4214671.86063088
yes,male,64,6802075.966647436
yes,male,60,6984786.681062983
no,female,48,4073633.4321865584
no,female,62,5202659.526325638
yes,male,48,3402787.956086322
no,female,64,4397369.706141272
no,male,61,6876951.721475886
no,female,56,3179540.022276372
yes,female,55,4728117.277034854
yes,female,56,4711447.719808076
yes,female,59,4479539.162412545
no,male,52,5863328.080303875
yes,female,52,6413363.771737976
yes,female,62,7041884.373232678
no,female,58,6715348.836204929
no,male,43,5018055.3478965955
yes,female,58,4746306.367842135
yes,female,58,3863263.643071759
no,male,56,3923625.181578558
yes,female,49,4874347.595748537
yes,female,64,6178051.932994047
no,male,67,6716700.33218257
no,male,70,7762845.332473849
no,female,55,1731354.3563370504
yes,female,42,4505476.921997908
no,female,46,4565110.275469991
yes,female,64,6784773.805883381
no,female,50,4764213.135613593
yes,male,53,6680516.557621696
no,female,51,3332843.470206142
no,male,55,6547278.219988391
yes,female,51,4788116.846556354
yes,male,62,7687780.446677119
yes,male,50,5746400.436215794
no,female,53,4386647.029591916
no,male,48,4778019.2145809075
no,male,44,2607726.1245965064
no,male,52,3778017.018886861
yes,female,50,5294395.159907954
no,female,41,3091665.4608942927
no,female,49,5696950.753685082
no,male,50,5698543.204106016
yes,female,54,4647322.783812558
yes,male,56,5936398.3413764555
no,female,55,3980396.1344381007
yes,male,55,6368144.124887414
no,female,58,4891408.657098952
no,female,49,3187488.3641399764
yes,male,59,6989908.341959155
yes,female,63,6464505.188375881
yes,male,60,5543417.616351486
no,female,58,4756177.696801758
no,male,61,5335288.036526635
no,female,57,3947689.077292264
no,female,59,4536597.093478919
no,female,62,4623007.289102768
no,female,55,4390155.935724988
yes,male,57,6610614.140500465
yes,female,48,3261873.871759002
no,male,44,4101062.1075293245
yes,male,47,5677797.945865476
no,male,54,4282801.641594462
yes,male,58,5574660.680998158
yes,female,40,4011060.935025062
no,female,48,3805880.4240929745
no,female,56,4715667.711549533
no,female,50,3776090.775718935
yes,female,47,4450332.673532687
no,male,62,4575859.368210353
no,female,64,5201679.502643847
no,male,47,5048833.005208231
no,male,45,3936099.1991042816
yes,male,38,4458836.933637603
no,male,41,2879105.3861121996
yes,male,59,6936822.902389427
yes,female,54,4616227.264883464
yes,male,56,6374824.032499995
yes,female,59,5423277.6432365095
no,female,52,5343696.052762763
yes,female,66,4716980.256714092
yes,male,61,5910297.937141017
yes,female,47,2609275.045983298
yes,female,59,6218721.770552005
no,male,50,5610067.624119482
yes,female,53,5024247.2448138185
yes,male,68,7731101.5539727975
no,male,61,4960525.058308516
no,female,57,4007773.463839524
yes,female,57,5814547.632311735
yes,male,59,5218389.02164071
yes,female,63,6133989.238637769
yes,female,59,5751884.786934088
yes,female,54,4846366.644958594
no,male,48,4067690.8359344914
no,male,64,5178578.56345035
no,male,52,4776027.476768452
no,female,57,4925910.866654034
no,male,55,4063732.8373742574
no,male,49,5660022.114443734
yes,female,52,3028531.9137294395
yes,male,68,5752822.469199059
no,male,48,4097347.6327564963
no,female,76,5910405.241788193
yes,male,50,5381859.610444357
yes,male,49,6252045.3955684155
yes,female,61,5113973.170495736
yes,female,54,4917436.472803583
no,female,57,3566549.7080712495
yes,female,70,6639072.554028724
yes,female,54,4141440.0045665526
no,male,54,6076306.323013915
yes,male,49,4261737.12860393
no,female,52,4719128.004051902
yes,female,40,2984747.700866738
no,female,57,4984379.495407213
yes,male,43,4975581.503622401
no,male,56,6276806.58274255
no,female,53,4729300.383426355
yes,male,62,5321305.886006279
yes,male,56,6897261.131200504
no,female,56,3222910.045731992
yes,female,70,5765102.579115711
no,male,55,4079954.2728103106
yes,male,56,6404702.718843151
yes,female,50,3009556.6199042113
yes,female,51,4184233.337877896
no,female,63,5084982.505634396
yes,male,48,5901528.085733912
yes,female,57,4373195.12277246
yes,female,55,4893478.335142444
no,female,60,4648711.683545697
yes,male,44,4403640.385051186
yes,male,60,6707091.400532427
yes,female,59,4892485.873280227
no,male,52,5303014.189906337
yes,male,51,3951228.8302511806
yes,female,55,6552375.879390847
yes,male,48,5795562.962111604
yes,male,49,7061701.74244274
yes,female,49,4287532.033394427
yes,female,34,2698245.4016608004
yes,female,52,3299042.6489664237
yes,female,55,5033669.894583846
yes,male,62,5072332.873151448
no,male,47,5064748.426306376
no,female,50,4349538.1921601
yes,female,54,5589520.882978619
yes,male,49,6142529.063617634
yes,male,56,6410606.704112829
no,female,48,2870355.2586411894
yes,male,44,5549203.096737181
no,male,62,6366883.494497201
yes,female,59,6373867.247402235
yes,female,43,2939381.5781419873
yes,male,56,5840378.9949458055
yes,male,52,6449983.880171435
no,male,51,4555944.45100125
yes,female,59,4148316.1950498046
yes,male,57,5907899.5845362535
yes,female,60,6588705.6427897895
no,male,49,5758003.90813869
yes,male,56,5718761.271355287
no,male,60,6965186.7259244695
no,male,63,4852846.966992486
yes,male,56,6159344.476252439
no,female,52,3804186.2287547854
no,male,58,6718855.259932639
no,male,56,5348378.0979977865
no,female,61,5514254.6301358435
yes,male,54,4972162.020777306
no,male,61,5549944.168377417
no,male,62,5685987.905620065
yes,female,51,4669447.96171968
yes,male,64,8319268.527728953
no,male,53,5846092.29786786
no,male,55,7319634.698421482
yes,female,54,4788030.884752273
no,male,47,6518138.073617638
no,male,40,3772430.591792871
no,male,71,8814201.534217313
yes,female,48,3275908.027632944
no,male,43,4856305.866328746
no,male,51,4153852.7822800167
yes,female,41,4196526.3761978075
yes,male,47,5111489.119688462
no,female,64,4191700.9262340222
no,female,44,4026843.018726609
no,female,40,4060158.4394670026
no,male,66,5358099.949117324
yes,female,48,3186221.6971229594
yes,male,63,7514145.103831716
no,female,52,2376634.1153976163
no,male,45,4291328.281806019
no,male,51,4420128.388074344
yes,female,55,7586967.049583229
yes,male,48,4868062.450811232
yes,female,62,5352663.759829446
yes,female,60,4415520.6081921365
yes,male,46,6934875.896792945
no,male,37,3331427.2092819186
no,female,55,4373768.824624699
no,female,57,5420129.831803554
yes,female,39,3062684.9346808554
no,male,62,6178754.132630986
yes,female,54,6927981.119188341
yes,male,51,6665073.344049208
yes,male,48,5642714.465312687
yes,male,59,6816576.294712782
no,male,48,3322606.396759594
yes,female,55,2550322.270000407
yes,male,48,4837623.07250043
yes,female,54,4410132.125583701
no,male,47,3165898.6581783136
no,male,59,6693141.131433836
yes,female,54,5181030.330861245
yes,male,66,5083401.226814422
no,female,57,3670386.386094945
yes,male,46,5477862.585107026
yes,female,53,4668645.112421657
yes,male,58,4674522.195348227
no,female,51,4808079.9534462
no,male,57,6362934.556535039
yes,male,52,6429635.857487389
yes,male,57,5570622.202053285
yes,female,54,4614989.144533247
yes,female,55,6323382.475166935
no,female,59,5242528.579048286
no,female,54,3621373.193348074
no,male,60,5913896.167618577
yes,female,53,5951072.919668393
yes,female,55,5513983.056401162
no,male,65,7207307.340116267
no,male,48,5706605.991825125
yes,male,40,4695643.086347628
no,female,39,1611641.1281624746
yes,female,56,4381241.207772631
no,female,43,1641926.0901013068
no,male,54,5635566.937971554
yes,female,44,2890824.930792916
no,male,54,4071621.2852962827
yes,female,58,5905107.821012589
no,male,58,5997745.321282823
no,female,44,4277908.368852227
no,male,59,6290862.493474612
yes,female,46,5099800.172676843
no,female,55,4083922.9381878115
no,female,47,3542074.71871472
yes,male,43,4245670.427014082
no,female,54,4382674.521274021
no,male,44,4601913.816133766
no,male,59,6937175.807979847
yes,female,65,5348188.966455737
yes,male,62,5284555.622229998
yes,female,57,6761180.439803282
no,male,64,7817856.294079789
no,female,51,2471317.8417586475
no,male,55,6067529.932503605
no,male,55,6738066.638147477
yes,male,51,4719579.981491033
no,male,53,6463406.817136808
yes,female,54,4405318.735069814
no,male,53,5848465.130365998
no,male,61,5370216.408813523
yes,female,51,6563942.970377072
yes,male,51,4645572.267936294
no,female,51,5094513.844633931
yes,female,50,2699277.426409006
yes,female,55,4323297.147166449
yes,female,57,5144610.720364231
yes,male,50,4228479.21239599
no,female,64,5155760.934471099
no,female,51,4835586.862647202
no,male,57,5186685.320226272
no,male,56,6575419.494225956
no,female,58,3573442.813776674
yes,male,49,4692675.613864798
yes,female,51,3452551.838910103
no,female,64,6886533.469340138
no,female,67,3925485.511593002
no,female,54,3656610.6380145256
no,female,62,5604895.0944197215
yes,female,58,5432085.468141745
yes,male,59,4314154.090973532
no,female,48,2396144.6673757895
no,male,46,5134397.455006429
yes,female,61,4520289.229944263
yes,male,46,3896302.2069576695
yes,female,62,3790116.362359498
no,male,47,3789469.3778237244
no,male,48,4642388.567803044
no,male,51,5728925.222050372
yes,female,65,4554104.729773747
yes,female,55,4423027.420411692
yes,male,46,5378614.947866664
no,male,62,5877390.771596525
no,female,53,3767214.232999193
no,female,53,3960905.654630165
no,female,48,4710487.800821745
yes,female,49,5303196.373261887
yes,male,44,4992989.848229008
yes,male,52,7361839.34494423
yes,female,56,7420615.005664874
yes,female,51,5840354.092994517
no,male,70,6368609.500093035
no,female,53,3510339.1872758786
yes,male,51,5556127.063488826
yes,male,54,6022156.826642034
no,male,63,5637453.4832463255
no,male,55,4591192.581920719
yes,male,40,5888047.160557128
yes,male,58,7022558.819829228
no,female,51,4711995.607693005
no,male,46,4967934.4724126
yes,male,43,4925850.9637739
yes,male,58,7295918.927987957
yes,male,50,5143004.989047364
no,male,52,5363334.562144865
no,male,53,5168954.114517691
no,female,41,3633364.9095279705
yes,female,58,5594620.685701922
yes,male,52,6873815.72863175
no,female,57,3899682.406932464
no,female,47,2827734.915692617
no,female,49,3625516.908816278
no,male,54,3750816.495800958
no,female,54,4550825.900987782
no,female,38,1875314.4627818116
no,female,61,5462560.3851523055
yes,male,57,7843661.2600163855
yes,male,59,4989588.786025611
yes,female,49,6565914.463165151
yes,male,53,4391643.953856169
yes,male,55,5956039.882035849
yes,female,59,7806453.445580532
yes,male,50,5774230.174307321
no,male,50,7917986.5925354585
yes,male,60,5648622.08204845
yes,female,58,6295805.611234046
no,female,58,4809509.872674183
no,male,63,6873419.683441363
no,female,64,4212491.879572627
yes,male,66,6688421.280828404
yes,male,62,4926056.778043237
no,female,44,4666848.701943113
yes,female,54,4489092.130206536
no,male,45,4263140.6794374045
no,female,41,3255363.296591919
yes,male,39,4990205.988407969
yes,male,50,6648528.357056287
yes,female,58,5464424.90827623
yes,male,43,6046674.73041474
yes,male,61,6654194.092722799
yes,female,63,5266863.4879951645
no,male,51,5371328.419404411
yes,male,48,5771944.856553832
no,male,52,4937661.137867368
yes,female,48,3207950.694305839
yes,male,56,6739557.995509815
no,female,52,4323892.674719897
no,male,43,4733772.273687611
no,male,50,4878030.399368884
